time(s),lattitude,longitude,altitude
1731065623,55.3673515,10.4317339,123.65036094730728
1731065623,55.3673518,10.4317314,123.45936481492036
1731065623,55.3673523,10.4317293,123.27536775556793
1731065623,55.3673529,10.4317268,122.9903712504176
1731065624,55.3673534,10.4317249,122.8103738518292
1731065624,55.3673536,10.4317233,122.80437631715155
1731065624,55.3673539,10.4317214,122.76837916706198
1731065624,55.3673542,10.4317197,122.63438167774211
1731065624,55.3673547,10.4317177,122.4543844487571
1731065625,55.367355,10.4317166,122.35738594175088
1731065625,55.3673552,10.4317152,122.2993880678366
1731065625,55.3673554,10.4317143,122.2503893458536
1731065625,55.3673557,10.4317127,122.05439168691142
1731065625,55.367356,10.4317112,121.90339385835404
1731065626,55.3673566,10.4317091,121.59139667471631
1731065626,55.367357,10.4317076,121.32139872190214
1731065626,55.3673578,10.4317055,121.03140128975222
1731065626,55.3673586,10.4317036,120.9834035183721
1731065626,55.3673597,10.4317006,120.4954072399667
1731065627,55.3673614,10.4316986,120.23240851990296
1731065627,55.3673627,10.431696,119.95141131452033
1731065627,55.3673638,10.4316941,119.89741317035228
1731065627,55.3673653,10.4316913,119.43241605566607
1731065627,55.367368,10.4316887,119.28841711066754
1731065628,55.3673703,10.4316847,118.8014210372364
1731065628,55.3673719,10.4316819,118.65542379824446
1731065628,55.3673737,10.4316773,118.30042936373069
1731065628,55.3673755,10.4316735,117.9644335723041
1731065628,55.3673778,10.431669,117.17643834683673
1731065629,55.3673794,10.4316658,116.68144178622391
1731065629,55.3673809,10.4316617,116.07444687635409
1731065629,55.3673829,10.4316568,115.41645270204259
1731065629,55.3673852,10.4316519,114.83645815491737
1731065629,55.3673868,10.4316489,114.2714612550148
1731065630,55.3673891,10.4316467,113.82546212837377
1731065630,55.3673901,10.4316443,113.2274649563689
1731065630,55.3673915,10.4316419,112.78146728729892
1731065630,55.3673942,10.431638,112.11147054691028
1731065630,55.367395,10.4316358,111.78447328419028
1731065631,55.3673958,10.4316324,111.23847805677543
1731065631,55.3673971,10.4316297,110.96348102075649
1731065631,55.3673992,10.4316256,110.45648536511328
1731065631,55.3674012,10.4316218,110.4894893248884
1731065631,55.3674023,10.4316189,109.93449287658376
1731065632,55.3674041,10.4316154,109.4384965760375
1731065632,55.3674054,10.4316119,108.7485008968213
1731065632,55.3674074,10.4316084,108.0895043477027
1731065632,55.3674091,10.4316044,107.76550901941417
1731065632,55.3674105,10.4316017,107.16951185902441
1731065633,55.3674136,10.4315951,106.09351920068204
1731065633,55.3674149,10.4315911,106.1205243694197
1731065633,55.3674172,10.4315874,105.32552778659038
1731065633,55.3674188,10.4315837,105.0415320736544
1731065633,55.3674217,10.4315795,105.65353559316145
1731065634,55.3674232,10.4315784,104.48253559470022
1731065634,55.3674263,10.4315728,104.8705412400813
1731065634,55.3674307,10.4315642,102.71055035796643
1731065634,55.3674357,10.4315538,100.30656178295683
1731065634,55.3674386,10.4315485,99.81156716787923
1731065635,55.3674401,10.4315468,98.6635681869393
1731065635,55.3674411,10.4315452,98.61956965779544
1731065635,55.3674412,10.4315457,98.31156868549043
1731065635,55.3674445,10.4315399,98.04357442122397
1731065635,55.3674474,10.4315372,97.7305753963106
1731065636,55.3674502,10.4315349,97.23657581723074
1731065636,55.367454,10.4315323,97.22057550406299
1731065636,55.3674569,10.4315301,96.85657563101458
1731065636,55.3674591,10.4315285,96.16957561033121
1731065636,55.3674604,10.4315238,95.33858196595904
1731065637,55.3674646,10.4315212,95.26258115546705
1731065637,55.3674673,10.4315184,94.85058254849835
1731065637,55.3674709,10.4315135,93.93258638453412
1731065637,55.3674735,10.4315125,93.68958484892323
1731065637,55.3674759,10.43151,93.14658610592952
1731065638,55.3674785,10.4315058,92.48058999757603
1731065638,55.367481,10.4315013,91.62559452229644
1731065638,55.3674829,10.4315001,91.3455941958753
1731065638,55.3674844,10.4314982,91.64159555385629
1731065638,55.3674862,10.4314972,90.97759501250208
1731065639,55.3674882,10.4314959,90.78059473134314
1731065639,55.3674898,10.4314967,90.65359138570705
1731065639,55.3674917,10.4314959,90.2385903808046
1731065639,55.3674936,10.4314952,90.06358920628395
1731065639,55.3674954,10.4314933,90.18559019129046
1731065640,55.3674977,10.4314901,90.80659275960238
1731065640,55.3674992,10.4314901,89.58059089503394
1731065640,55.3675013,10.4314886,89.24059082866877
1731065640,55.3675035,10.4314866,88.62759148599419
1731065640,55.3675058,10.4314848,88.32559167978587
1731065641,55.3675075,10.4314828,88.07159295861169
1731065641,55.367509,10.4314813,88.43559363802817
1731065641,55.3675112,10.4314812,88.33259107282723
1731065641,55.3675128,10.4314792,88.07659247592557
1731065641,55.367515,10.4314779,88.02559194592571
1731065642,55.3675163,10.4314765,88.00559270431665
1731065642,55.3675176,10.4314747,88.59859414111162
1731065642,55.3675186,10.4314749,88.0185925587812
1731065642,55.3675202,10.4314745,87.846591248184
1731065642,55.3675221,10.4314712,87.60559448311653
1731065643,55.3675227,10.4314666,87.26760153895094
1731065643,55.3675267,10.4314626,87.34160335044963
1731065643,55.367528,10.4314608,86.52260478718344
1731065643,55.3675301,10.4314597,86.3526040421594
1731065643,55.367532,10.4314588,86.2706032065484
1731065644,55.3675342,10.4314559,85.70360539001099
1731065644,55.3675354,10.4314577,85.91460084534293
1731065644,55.367538,10.4314537,85.28460439711947
1731065644,55.3675397,10.4314506,84.737607541335
1731065644,55.3675415,10.4314444,83.91761581886766
1731065645,55.3675435,10.4314423,83.6196168940665
1731065645,55.3675456,10.4314396,83.73761886253419
1731065645,55.3675469,10.4314387,83.17161877274594
1731065645,55.3675483,10.4314363,83.51562110264734
1731065645,55.3675501,10.4314339,84.83762293524083
1731065646,55.3675513,10.4314346,83.38462025613325
1731065646,55.3675537,10.4314324,82.94762100354633
1731065646,55.3675541,10.4314309,85.50362305025996
1731065646,55.3675545,10.4314325,83.53661983933463
1731065646,55.3675567,10.4314299,83.27362151377582
1731065647,55.3675583,10.4314302,83.22361901572916
1731065647,55.3675606,10.4314296,83.01761717378108
1731065647,55.3675626,10.4314273,82.87861858802378
1731065647,55.3675654,10.431422,82.02362409563759
1731065647,55.3675671,10.431421,81.88162367801883
1731065648,55.3675694,10.4314192,81.77562387120263
1731065648,55.3675711,10.4314164,81.91162650637284
1731065648,55.3675725,10.4314158,81.60862578331184
1731065648,55.3675742,10.4314134,81.48762774005533
1731065648,55.3675754,10.4314116,81.61162930085527
1731065649,55.3675775,10.4314096,81.61763008183195
1731065649,55.3675797,10.4314082,81.55762972085003
1731065649,55.3675805,10.4314068,81.60163110056624
1731065649,55.367582,10.431406,81.54963059231589
1731065649,55.3675833,10.4314044,81.62263168953652
1731065650,55.3675844,10.4314033,81.54563218742388
1731065650,55.3675854,10.431403,81.5396314528409
1731065650,55.3675872,10.4314021,81.40663074114293
1731065650,55.3675889,10.4314017,81.39962930576903
1731065650,55.3675909,10.4314021,81.59362614055462
1731065651,55.3675924,10.4314017,81.27462495383719
1731065651,55.3675946,10.4313997,81.30762561032518
1731065651,55.367597,10.4313992,81.00462347409524
1731065651,55.3675987,10.4313988,80.87162203865135
1731065651,55.3676006,10.4313967,80.36862323771908
1731065652,55.3676036,10.4313957,81.34662120335649
1731065652,55.3676056,10.4313949,81.47762007322841
1731065652,55.3676072,10.4313948,79.95661825326917
1731065652,55.367609,10.4313952,79.21361533659649
1731065652,55.3676124,10.4313924,79.36361585754693
1731065653,55.3676135,10.4313916,79.48761584650202
1731065653,55.3676164,10.4313901,80.14861478433556
