time(s),lattitude,longitude,altitude
1733478739,55.4740209,10.3263194,53.70868473482624
1733478754,55.4740219,10.3263064,54.15070473784324
1733478803,55.474021,10.3263112,53.756698171407685
1733478841,55.4739928,10.3262485,58.034845617959746
1733478865,55.4739895,10.3262312,59.2618793838586
1733478877,55.4738674,10.3261408,59.92421764180565
1733478935,55.4738077,10.3263768,61.71191864981831
1733478949,55.4738451,10.3264869,61.73467845380365
1733478957,55.4738925,10.3263262,61.88887164386857
1733478961,55.4739262,10.3262834,61.768890568020446
1733478970,55.4739569,10.3262873,58.37783672193312
