time(s),lattitude,longitude,altitude,rssi,remote-rssi
1731676118,55.367771,10.4313572,60.297478284835165,-15.4,-28.6
1731676119,55.3677719,10.4313562,60.32847886112894,-14.4,-24.9
1731676119,55.3677723,10.4313555,60.27347955069533,-15.4,-24.9
1731676121,55.3677726,10.4313548,60.033480364679576,-21.7,-30.2
1731676121,55.3677731,10.4313541,60.034480929825634,-21.7,-33.3
1731676122,55.3677737,10.4313528,60.05548238818527,-21.7,-33.3
1731676123,55.3677754,10.4313521,60.06948146029478,-20.7,-32.8
1731676124,55.3677769,10.431351,60.05748145965566,-19.1,-30.2
1731676125,55.3677814,10.4313476,59.786481627288495,-25.9,-32.3
1731676126,55.3677831,10.431346,59.672482225794454,-30.7,-39.6
1731676127,55.3677964,10.431345,59.40546737322761,-35.4,-44.4
1731676128,55.3678074,10.4313424,59.27145809557954,-42.3,-52.8
1731676129,55.367828,10.4313356,59.001443994659766,-45.9,-56.5
1731676130,55.3678364,10.4313336,58.987436933513294,-48.1,-61.7
1731676132,55.3678572,10.4313251,58.92942546452157,-55.9,-64.4
1731676132,55.3678659,10.4313207,58.86942209955938,-61.2,-74.4
1731676134,55.3678866,10.4313125,59.292410243677764,-58.1,-71.2
1731676134,55.3678994,10.4313095,59.14739939982755,-58.6,-65.9
1731676135,55.3679083,10.4313068,58.984392901058314,-58.6,-72.3
1731676136,55.3679298,10.4312997,58.518378179959505,-57.0,-73.3
1731676137,55.3679389,10.4312979,58.28636990460167,-58.1,-71.7
1731676139,55.3679602,10.4312937,58.09235051107138,-58.6,-69.6
1731676139,55.3679732,10.4312912,58.0793385662012,-60.7,-70.7
1731676141,55.3679924,10.4312877,57.841320597062335,-56.5,-71.7
1731676141,55.3680057,10.4312852,57.85630827686515,-56.5,-69.6
1731676143,55.3680275,10.4312777,57.83329385186985,-56.5,-71.2
1731676143,55.3680365,10.4312733,57.82829010720111,-63.3,-71.7
1731676144,55.3680452,10.4312711,57.79128300433618,-68.1,-78.6
1731676145,55.3680657,10.4312696,57.75226001806034,-57.0,-76.5
1731676146,55.3680781,10.4312678,57.6102476273959,-63.3,-70.7
1731676147,55.3681004,10.4312652,57.45022426192668,-57.5,-72.8
1731676148,55.3681104,10.4312636,57.42921451971013,-62.3,-72.3
1731676149,55.3681339,10.4312594,57.51619237013446,-64.4,-80.2
1731676150,55.3681432,10.4312573,57.53618434661128,-64.4,-76.5
1731676151,55.3681664,10.4312524,57.6121637548452,-65.4,-75.9
1731676152,55.3681799,10.431251,57.62314930988262,-68.1,-75.9
1731676153,55.3681994,10.4312496,57.5981273881547,-66.5,-79.6
1731676157,55.3682582,10.4312464,57.29705954302915,-71.7,-82.3
1731676158,55.3682678,10.4312446,57.21105063184195,-72.3,-81.2
1731676158,55.3682775,10.4312431,57.076041086766594,-75.9,-83.3
